congress,number,title,format,url,filename,status
105,10,A resolution making majority party appointments to certain Senate committees for the 105th Congress.,html,https://www.congress.gov/105/bills/sres10/BILLS-105sres10ats.htm,105_sres10.html,exists
105,89,"A resolution to constitute the majority party's membership on the Governmental Affairs committee for the 105th Congress, or until their successors are chosen.",html,https://www.congress.gov/105/bills/sres89/BILLS-105sres89ats.htm,105_sres89.html,exists
105,191,A resolution making Majority party appointments for the Committee on Governmental Affairs for the 105th Congress.,html,https://www.congress.gov/105/bills/sres191/BILLS-105sres191ats.htm,105_sres191.html,exists
106,14,A resolution making minority party appointments to Senate committees for the 106th Congress.,html,https://www.congress.gov/106/bills/sres14/BILLS-106sres14ats.htm,106_sres14.html,exists
106,12,A resolution making majority party appointments to certain Senate committees for the 106th Congress.,html,https://www.congress.gov/106/bills/sres12/BILLS-106sres12ats.htm,106_sres12.html,exists
106,13,A resolution making majority party appointments to Senate committees for the 106th Congress.,html,https://www.congress.gov/106/bills/sres13/BILLS-106sres13ats.htm,106_sres13.html,exists
106,15,"A resolution making minority party appointments to Senate committees in paragraph 3(a), (b), and (c) of Rule XXV.",html,https://www.congress.gov/106/bills/sres15/BILLS-106sres15ats.htm,106_sres15.html,exists
107,256,A resolution making Minority party appointments for the Special Committee on Aging for the 107th Congress.,html,https://www.congress.gov/107/bills/sres256/BILLS-107sres256ats.htm,107_sres256.html,exists
107,251,A resolution making Minority party appointments for the Committees on Environment and Public Works and Governmental Affairs for the 107th Congress.,html,https://www.congress.gov/107/bills/sres251/BILLS-107sres251ats.htm,107_sres251.html,exists
108,18,A resolution making majority party appointments to certain Senate committees for the 108th Congress.,html,https://www.congress.gov/108/bills/sres18/BILLS-108sres18ats.htm,108_sres18.html,exists
109,6,A resolution making minority party appointments to certain Senate committees for the 109th Congress.,xml,https://www.congress.gov/109/bills/sres6/BILLS-109sres6ats.xml,109_sres6.xml,exists
109,5,A resolution making majority party appointments to certain Senate committees for the 109th Congress.,xml,https://www.congress.gov/109/bills/sres5/BILLS-109sres5ats.xml,109_sres5.xml,exists
109,348,A resolution making minority party appointments to certain Senate committees for the 109th Congress.,xml,https://www.congress.gov/109/bills/sres348/BILLS-109sres348ats.xml,109_sres348.xml,exists
110,27,"A resolution to constitute the majority party's membership on certain committees of the One Hundred Tenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/110/bills/sres27/BILLS-110sres27ats.xml,110_sres27.xml,exists
110,28,"A resolution to constitute the minority party's membership on certain committees for the One Hundred Tenth Congress, or until their successors are chosen.",xml,https://www.congress.gov/110/bills/sres28/BILLS-110sres28ats.xml,110_sres28.xml,exists
110,275,A resolution making minority party appointments for the 110th Congress.,xml,https://www.congress.gov/110/bills/sres275/BILLS-110sres275ats.xml,110_sres275.xml,exists
110,233,A resolution making Minority party appointments for the Select Committee on Ethics for the 110th Congress.,xml,https://www.congress.gov/110/bills/sres233/BILLS-110sres233ats.xml,110_sres233.xml,exists
110,317,A resolution to constitute the minority party's membership on the Committee on Veterans' Affairs for the remainder of the 110th Congress or until their successors are chosen.,xml,https://www.congress.gov/110/bills/sres317/BILLS-110sres317ats.xml,110_sres317.xml,exists
110,425,A resolution making minority party appointments for the 110th Congress.,xml,https://www.congress.gov/110/bills/sres425/BILLS-110sres425ats.xml,110_sres425.xml,exists
110,492,A resolution amending the majority party's membership on the Select Committee on Ethics for the remainder of the 110th Congress.,xml,https://www.congress.gov/110/bills/sres492/BILLS-110sres492ats.xml,110_sres492.xml,exists
110,266,A resolution making minority party appointments for the 110th Congress.,xml,https://www.congress.gov/110/bills/sres266/BILLS-110sres266ats.xml,110_sres266.xml,exists
110,448,A resolution making minority party appointments for the 110th Congress.,xml,https://www.congress.gov/110/bills/sres448/BILLS-110sres448ats.xml,110_sres448.xml,exists
110,635,A resolution making minority party appointments for the 110th Congress.,xml,https://www.congress.gov/110/bills/sres635/BILLS-110sres635ats.xml,110_sres635.xml,exists
111,18,A resolution making majority party appointments to certain Senate committees for the 111th Congress.,html,https://www.congress.gov/111/bills/sres18/BILLS-111sres18ats.htm,111_sres18.html,exists
111,19,A resolution making minority party appointments for the 111th Congress.,html,https://www.congress.gov/111/bills/sres19/BILLS-111sres19ats.htm,111_sres19.html,exists
111,130,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Eleventh Congress, or until their successors are chosen.",xml,https://www.congress.gov/111/bills/sres130/BILLS-111sres130ats.xml,111_sres130.xml,exists
111,131,A resolution making minority party appointments for certain committees for the 111th Congress.,xml,https://www.congress.gov/111/bills/sres131/BILLS-111sres131ats.xml,111_sres131.xml,exists
111,208,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Eleventh Congress, or until their successors are chosen.",xml,https://www.congress.gov/111/bills/sres208/BILLS-111sres208ats.xml,111_sres208.xml,exists
111,218,A resolution making minority party appointments for the 111th Congress.,xml,https://www.congress.gov/111/bills/sres218/BILLS-111sres218ats.xml,111_sres218.xml,exists
111,290,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Eleventh Congress, or until their successors are chosen.",xml,https://www.congress.gov/111/bills/sres290/BILLS-111sres290ats.xml,111_sres290.xml,exists
111,257,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Eleventh Congress, or until their successors are chosen.",xml,https://www.congress.gov/111/bills/sres257/BILLS-111sres257ats.xml,111_sres257.xml,exists
111,279,A resolution making minority party appointments for certain committees for the 111th Congress.,xml,https://www.congress.gov/111/bills/sres279/BILLS-111sres279ats.xml,111_sres279.xml,exists
111,343,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Eleventh Congress, or until their successors are chosen.",xml,https://www.congress.gov/111/bills/sres343/BILLS-111sres343ats.xml,111_sres343.xml,exists
111,429,A resolution making minority party appointments for certain committees for the 111th Congress.,xml,https://www.congress.gov/111/bills/sres429/BILLS-111sres429ats.xml,111_sres429.xml,exists
111,450,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Eleventh Congress, or until their successors are chosen.",xml,https://www.congress.gov/111/bills/sres450/BILLS-111sres450ats.xml,111_sres450.xml,exists
111,594,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Eleventh Congress, or until their successors are chosen.",xml,https://www.congress.gov/111/bills/sres594/BILLS-111sres594ats.xml,111_sres594.xml,exists
111,674,"A resolution to constitute the majority party's membership on certain committees for the One Hundred Eleventh Congress, or until their successors are chosen.",xml,https://www.congress.gov/111/bills/sres674/BILLS-111sres674ats.xml,111_sres674.xml,exists
111,696,A resolution making minority party appointments for certain committees for the 111th Congress.,xml,https://www.congress.gov/111/bills/sres696/BILLS-111sres696ats.xml,111_sres696.xml,exists
