congress,number,title,format,url,filename,status
111,651,Electing a Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/111/bills/hres651/BILLS-111hres651eh.xml,111_hres651.xml,downloaded
111,770,Electing a minority member to a standing committee.,xml,https://www.congress.gov/111/bills/hres770/BILLS-111hres770eh.xml,111_hres770.xml,downloaded
111,723,Electing a minority member to a standing committee.,xml,https://www.congress.gov/111/bills/hres723/BILLS-111hres723eh.xml,111_hres723.xml,downloaded
111,807,Electing a minority member to a standing committee.,xml,https://www.congress.gov/111/bills/hres807/BILLS-111hres807eh.xml,111_hres807.xml,downloaded
111,834,Electing a Member to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/111/bills/hres834/BILLS-111hres834eh.xml,111_hres834.xml,exists
111,921,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/111/bills/hres921/BILLS-111hres921eh.xml,111_hres921.xml,exists
111,1095,Electing a minority member to a standing committee.,xml,https://www.congress.gov/111/bills/hres1095/BILLS-111hres1095eh.xml,111_hres1095.xml,downloaded
111,1156,Electing a Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/111/bills/hres1156/BILLS-111hres1156eh.xml,111_hres1156.xml,downloaded
111,1223,Electing a Minority member to a standing committee.,xml,https://www.congress.gov/111/bills/hres1223/BILLS-111hres1223eh.xml,111_hres1223.xml,downloaded
111,1334,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/111/bills/hres1334/BILLS-111hres1334eh.xml,111_hres1334.xml,exists
111,1397,Electing a Member to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/111/bills/hres1397/BILLS-111hres1397eh.xml,111_hres1397.xml,exists
111,1415,Electing minority members to certain standing committees.,xml,https://www.congress.gov/111/bills/hres1415/BILLS-111hres1415eh.xml,111_hres1415.xml,downloaded
111,1447,Electing certain minority members to certain standing committees.,xml,https://www.congress.gov/111/bills/hres1447/BILLS-111hres1447eh.xml,111_hres1447.xml,downloaded
112,6,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres6/BILLS-112hres6eh.xml,112_hres6.xml,exists
112,7,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres7/BILLS-112hres7eh.xml,112_hres7.xml,exists
112,31,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres31/BILLS-112hres31eh.xml,112_hres31.xml,exists
112,33,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres33/BILLS-112hres33eh.xml,112_hres33.xml,exists
112,37,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres37/BILLS-112hres37eh.xml,112_hres37.xml,exists
112,39,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres39/BILLS-112hres39eh.xml,112_hres39.xml,exists
112,42,Electing certain Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres42/BILLS-112hres42eh.xml,112_hres42.xml,downloaded
112,52,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres52/BILLS-112hres52eh.xml,112_hres52.xml,exists
112,53,Electing certain Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres53/BILLS-112hres53eh.xml,112_hres53.xml,downloaded
112,62,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres62/BILLS-112hres62eh.xml,112_hres62.xml,exists
112,78,Electing certain Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres78/BILLS-112hres78eh.xml,112_hres78.xml,downloaded
112,149,Electing a Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres149/BILLS-112hres149eh.xml,112_hres149.xml,downloaded
112,155,Electing a Member to a standing committee of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres155/BILLS-112hres155eh.xml,112_hres155.xml,downloaded
112,168,Electing certain Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres168/BILLS-112hres168eh.xml,112_hres168.xml,downloaded
112,202,Electing a Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres202/BILLS-112hres202eh.xml,112_hres202.xml,downloaded
112,263,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres263/BILLS-112hres263eh.xml,112_hres263.xml,exists
112,274,Electing a Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres274/BILLS-112hres274eh.xml,112_hres274.xml,downloaded
112,293,Electing a Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres293/BILLS-112hres293eh.xml,112_hres293.xml,downloaded
112,303,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres303/BILLS-112hres303eh.xml,112_hres303.xml,exists
112,321,Electing a Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres321/BILLS-112hres321eh.xml,112_hres321.xml,downloaded
112,350,Electing a Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres350/BILLS-112hres350eh.xml,112_hres350.xml,downloaded
112,377,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres377/BILLS-112hres377eh.xml,112_hres377.xml,exists
112,395,Electing a certain Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres395/BILLS-112hres395eh.xml,112_hres395.xml,downloaded
112,398,Electing a Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres398/BILLS-112hres398eh.xml,112_hres398.xml,downloaded
112,411,Electing a Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres411/BILLS-112hres411eh.xml,112_hres411.xml,downloaded
112,420,Electing certain Members to certain standing committees.,xml,https://www.congress.gov/112/bills/hres420/BILLS-112hres420eh.xml,112_hres420.xml,downloaded
112,447,Electing a certain Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres447/BILLS-112hres447eh.xml,112_hres447.xml,downloaded
112,486,Electing a Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres486/BILLS-112hres486eh.xml,112_hres486.xml,downloaded
112,553,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres553/BILLS-112hres553eh.xml,112_hres553.xml,exists
112,590,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres590/BILLS-112hres590eh.xml,112_hres590.xml,exists
112,707,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres707/BILLS-112hres707eh.xml,112_hres707.xml,exists
112,751,Electing a Member to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres751/BILLS-112hres751eh.xml,112_hres751.xml,downloaded
112,822,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/112/bills/hres822/BILLS-112hres822eh.xml,112_hres822.xml,exists
113,6,Electing Members to certain standing committees of the House of Representatives.,html,https://www.congress.gov/113/bills/hres6/BILLS-113hres6eh.htm,113_hres6.html,exists
113,7,Electing Members to certain standing committees of the House of Representatives.,html,https://www.congress.gov/113/bills/hres7/BILLS-113hres7eh.htm,113_hres7.html,exists
113,17,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/113/bills/hres17/BILLS-113hres17eh.xml,113_hres17.xml,exists
113,22,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/113/bills/hres22/BILLS-113hres22eh.xml,113_hres22.xml,exists
113,42,Electing Members to certain standing committees of the House of Representatives.,xml,https://www.congress.gov/113/bills/hres42/BILLS-113hres42eh.xml,113_hres42.xml,exists
113,52,Electing Members to a certain standing committee of the House of Representatives.,xml,https://www.congress.gov/113/bills/hres52/BILLS-113hres52eh.xml,113_hres52.xml,downloaded
