congress,start_date,start_date_imputed,end_date,departure_reason,bioguide_id,member_name,state,senator_class,party,party_designation,committee_name,committee_code,resolution_rank,roster_snapshot_rank,position,resolution,resolution_date
112,2011-02-03,False,2013-01-02,,C000286,Saxby Chambliss,GA,II,R,minority,Select Committee on Intelligence,SLIN00,1,,Vice Chairman,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000286,Saxby Chambliss,GA,II,R,minority,Special Committee on Aging,SPAG00,10,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000286,Saxby Chambliss,GA,II,R,minority,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,5,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000286,Saxby Chambliss,GA,II,R,minority,Committee on Armed Services,SSAS00,4,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000286,Saxby Chambliss,GA,II,R,minority,Committee on Rules and Administration,SSRA00,4,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000542,Daniel Coats,IN,III,R,minority,Joint Economic Committee,JSEC00,2,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000542,Daniel Coats,IN,III,R,minority,Select Committee on Intelligence,SLIN00,5,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000542,Daniel Coats,IN,III,R,minority,Committee on Appropriations,SSAP00,10,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000542,Daniel Coats,IN,III,R,minority,Committee on Energy and Natural Resources,SSEG00,7,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000560,Tom Coburn,OK,III,R,minority,Committee on Finance,SSFI00,10,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000560,Tom Coburn,OK,III,R,minority,Committee on Homeland Security and Governmental Affairs,SSGA00,2,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000560,Tom Coburn,OK,III,R,minority,Committee on the Judiciary,SSJU00,8,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000567,Thad Cochran,MS,II,R,minority,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,3,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000567,Thad Cochran,MS,II,R,minority,Committee on Appropriations,SSAP00,1,,Ranking,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000567,Thad Cochran,MS,II,R,minority,Committee on Rules and Administration,SSRA00,3,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000705,Kent Conrad,ND,I,D,majority,Committee on Indian Affairs,SLIA00,3,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000705,Kent Conrad,ND,I,D,majority,Select Committee on Intelligence,SLIN00,6,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000705,Kent Conrad,ND,I,D,majority,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,4,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000705,Kent Conrad,ND,I,D,majority,Committee on the Budget,SSBU00,1,,Chairman,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000705,Kent Conrad,ND,I,D,majority,Committee on Finance,SSFI00,3,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C000880,Mike Crapo,ID,III,R,minority,Committee on Indian Affairs,SLIA00,5,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000880,Mike Crapo,ID,III,R,minority,"Committee on Banking, Housing, and Urban Affairs",SSBK00,2,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000880,Mike Crapo,ID,III,R,minority,Committee on the Budget,SSBU00,4,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000880,Mike Crapo,ID,III,R,minority,Committee on Environment and Public Works,SSEV00,5,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C000880,Mike Crapo,ID,III,R,minority,Committee on Finance,SSFI00,5,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C001035,Susan M. Collins,ME,II,R,minority,Special Committee on Aging,SPAG00,2,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C001035,Susan M. Collins,ME,II,R,minority,Committee on Appropriations,SSAP00,6,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C001035,Susan M. Collins,ME,II,R,minority,Committee on Armed Services,SSAS00,9,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C001035,Susan M. Collins,ME,II,R,minority,Committee on Homeland Security and Governmental Affairs,SSGA00,1,,Ranking,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C001056,John Cornyn,TX,II,R,minority,Committee on Armed Services,SSAS00,11,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C001056,John Cornyn,TX,II,R,minority,Committee on the Budget,SSBU00,6,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C001056,John Cornyn,TX,II,R,minority,Committee on Finance,SSFI00,9,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C001056,John Cornyn,TX,II,R,minority,Committee on the Judiciary,SSJU00,6,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C001070,"Robert P., Jr. Casey",PA,I,D,majority,Joint Economic Committee,JSEC00,1,,Chairman,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C001070,"Robert P., Jr. Casey",PA,I,D,majority,Special Committee on Aging,SPAG00,4,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C001070,"Robert P., Jr. Casey",PA,I,D,majority,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,8,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C001070,"Robert P., Jr. Casey",PA,I,D,majority,Committee on Foreign Relations,SSFR00,5,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C001070,"Robert P., Jr. Casey",PA,I,D,majority,"Committee on Health, Education, Labor, and Pensions",SSHR00,6,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C001071,Bob Corker,TN,I,R,minority,Special Committee on Aging,SPAG00,1,,Ranking,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C001071,Bob Corker,TN,I,R,minority,"Committee on Banking, Housing, and Urban Affairs",SSBK00,3,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C001071,Bob Corker,TN,I,R,minority,Committee on Energy and Natural Resources,SSEG00,10,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C001071,Bob Corker,TN,I,R,minority,Committee on Foreign Relations,SSFR00,2,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,C001088,Christopher A. Coons,DE,II,D,majority,Committee on the Budget,SSBU00,12,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C001088,Christopher A. Coons,DE,II,D,majority,Committee on Energy and Natural Resources,SSEG00,12,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C001088,Christopher A. Coons,DE,II,D,majority,Committee on Foreign Relations,SSFR00,8,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,C001088,Christopher A. Coons,DE,II,D,majority,Committee on the Judiciary,SSJU00,9,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,D000563,Richard J. Durbin,IL,II,D,majority,Committee on Appropriations,SSAP00,8,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,D000563,Richard J. Durbin,IL,II,D,majority,Committee on Foreign Relations,SSFR00,9,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,D000563,Richard J. Durbin,IL,II,D,majority,Committee on the Judiciary,SSJU00,5,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,D000563,Richard J. Durbin,IL,II,D,majority,Committee on Rules and Administration,SSRA00,4,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,D000595,Jim DeMint,SC,III,R,minority,Joint Economic Committee,JSEC00,1,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,D000595,Jim DeMint,SC,III,R,minority,"Committee on Banking, Housing, and Urban Affairs",SSBK00,4,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,D000595,Jim DeMint,SC,III,R,minority,"Committee on Commerce, Science, and Transportation",SSCM00,4,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,D000595,Jim DeMint,SC,III,R,minority,Committee on Foreign Relations,SSFR00,6,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,E000285,Michael B. Enzi,WY,II,R,minority,Committee on the Budget,SSBU00,3,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,E000285,Michael B. Enzi,WY,II,R,minority,Committee on Finance,SSFI00,8,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,E000285,Michael B. Enzi,WY,II,R,minority,"Committee on Health, Education, Labor, and Pensions",SSHR00,1,,Ranking,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,E000285,Michael B. Enzi,WY,II,R,minority,Committee on Small Business and Entrepreneurship,SSSB00,7,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,F000062,Dianne Feinstein,CA,I,D,majority,Select Committee on Intelligence,SLIN00,1,,Chairman,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,F000062,Dianne Feinstein,CA,I,D,majority,Committee on Appropriations,SSAP00,7,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,F000062,Dianne Feinstein,CA,I,D,majority,Committee on the Judiciary,SSJU00,3,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,F000062,Dianne Feinstein,CA,I,D,majority,Committee on Rules and Administration,SSRA00,3,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,F000457,Al Franken,MN,II,D,majority,Committee on Indian Affairs,SLIA00,8,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,F000457,Al Franken,MN,II,D,majority,Committee on Energy and Natural Resources,SSEG00,10,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,F000457,Al Franken,MN,II,D,majority,"Committee on Health, Education, Labor, and Pensions",SSHR00,9,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,F000457,Al Franken,MN,II,D,majority,Committee on the Judiciary,SSJU00,8,,Member,S.Res.42,2011-02-03
112,2011-02-03,False,2013-01-02,,G000359,Lindsey Graham,SC,II,R,minority,Special Committee on Aging,SPAG00,9,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,G000359,Lindsey Graham,SC,II,R,minority,Committee on Appropriations,SSAP00,8,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,G000359,Lindsey Graham,SC,II,R,minority,Committee on Armed Services,SSAS00,10,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,G000359,Lindsey Graham,SC,II,R,minority,Committee on the Budget,SSBU00,7,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,G000359,Lindsey Graham,SC,II,R,minority,Committee on the Judiciary,SSJU00,5,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,G000386,Chuck Grassley,IA,III,R,minority,"Committee on Agriculture, Nutrition, and Forestry",SSAF00,8,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,G000386,Chuck Grassley,IA,III,R,minority,Committee on the Budget,SSBU00,2,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,G000386,Chuck Grassley,IA,III,R,minority,Committee on Finance,SSFI00,2,,Member,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,G000386,Chuck Grassley,IA,III,R,minority,Committee on the Judiciary,SSJU00,1,,Ranking,S.Res.43,2011-02-03
112,2011-02-03,False,2013-01-02,,G000555,Kirsten E. Gillibrand,NY,I,D,majority,Special Committee on Aging,SPAG00,9,,Member,S.Res.42,2011-02-03
