congress,start_date,start_date_imputed,end_date,departure_reason,bioguide_id,member_name,state,district,party,committee_name,committee_code,committee_rank,role,resolution,resolution_date,cr_citation,resignation_date
117,2021-01-28,False,2023-01-03,,F000470,Michelle Fischbach,MN,7,R,Agriculture,AG00,22,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000470,Michelle Fischbach,MN,7,R,Judiciary,JU00,14,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000470,Michelle Fischbach,MN,7,R,Rules,RU00,1,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000471,Scott Fitzgerald,WI,5,R,Education and the Workforce,ED00,21,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000471,Scott Fitzgerald,WI,5,R,Judiciary,JU00,16,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000471,Scott Fitzgerald,WI,5,R,Small Business,SM00,10,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000472,Scott Franklin,FL,18,R,Armed Services,AS00,22,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,F000472,Scott Franklin,FL,18,R,Oversight and Government Reform,GO00,15,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000061,Mike Garcia,CA,27,R,Appropriations,AP00,23,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000061,Mike Garcia,CA,27,R,"Science, Space, and Technology",SY00,10,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000546,Sam Graves,MO,6,R,Armed Services,AS00,8,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000551,Raúl M. Grijalva,AZ,7,D,Education and the Workforce,ED00,1,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000552,Louie Gohmert,TX,1,R,Natural Resources,II00,2,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000552,Louie Gohmert,TX,1,R,Judiciary,JU00,2,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000553,Al Green,TX,9,D,Financial Services,BA00,5,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000553,Al Green,TX,9,D,Homeland Security,HM00,7,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000558,Brett Guthrie,KY,2,R,Energy and Commerce,IF00,5,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000559,John Garamendi,CA,8,D,Armed Services,AS00,5,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000559,John Garamendi,CA,8,D,Transportation and Infrastructure,PW00,7,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000563,Bob Gibbs,OH,7,R,Oversight and Government Reform,GO00,7,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000563,Bob Gibbs,OH,7,R,Transportation and Infrastructure,PW00,3,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000565,Paul A. Gosar,AZ,9,R,Oversight and Government Reform,GO00,2,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000565,Paul A. Gosar,AZ,9,R,Natural Resources,II00,6,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000568,H. Morgan Griffith,VA,9,R,Energy and Commerce,IF00,8,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000574,Ruben Gallego,AZ,3,D,Armed Services,AS00,8,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000574,Ruben Gallego,AZ,3,D,Natural Resources,II00,6,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000576,Glenn Grothman,WI,6,R,Budget,BU00,6,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000576,Glenn Grothman,WI,6,R,Education and the Workforce,ED00,4,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000576,Glenn Grothman,WI,6,R,Oversight and Government Reform,GO00,5,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000577,Garret Graves,LA,6,R,Natural Resources,II00,7,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000578,Matt Gaetz,FL,1,R,Armed Services,AS00,13,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000578,Matt Gaetz,FL,1,R,Judiciary,JU00,5,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000579,Mike Gallagher,WI,8,R,Armed Services,AS00,12,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000579,Mike Gallagher,WI,8,R,Transportation and Infrastructure,PW00,17,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000581,Vicente Gonzalez,TX,34,D,Financial Services,BA00,13,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000581,Vicente Gonzalez,TX,34,D,Foreign Affairs,FA00,25,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000582,Jenniffer González-Colón,PR,Resident Commissioner,R,Transportation and Infrastructure,PW00,18,,H.Res.63,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000583,Josh Gottheimer,NJ,5,D,Financial Services,BA00,12,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000583,Josh Gottheimer,NJ,5,D,Homeland Security,HM00,14,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000585,Jimmy Gomez,CA,34,D,Oversight and Government Reform,GO00,22,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000585,Jimmy Gomez,CA,34,D,Ways and Means,WM00,22,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000586,"Jesús G. ""Chuy"" García",IL,4,D,Financial Services,BA00,26,,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000586,"Jesús G. ""Chuy"" García",IL,4,D,Natural Resources,II00,18,Vice Chair,H.Res.62,2021-01-28,,
117,2021-01-28,False,2023-01-03,,G000586,"Jesús G. ""Chuy"" García",IL,4,D,Transportation and Infrastructure,PW00,25,,H.Res.62,2021-01-28,,
