congress,date,resolution,committee,member,rank,role,rank_after
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Campbell,10,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Royce,11,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Lucas of Oklahoma,12,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Metcalf,13,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Ney,14,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Barr of Georgia,15,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mrs. Kelly,16,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Paul,17,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Weldon of Florida,18,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Ryun of Kansas,19,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Cook,20,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Riley,21,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Hill of Montana,22,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. LaTourette,23,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Manzullo,24,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Jones of North Carolina,25,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Ryan of Wisconsin,26,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Ose,27,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Sweeney,28,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mrs. Biggert,29,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Terry,30,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Green of Wisconsin,31,,
106,1999-01-06,H.Res.6,Banking and Financial Services,Mr. Toomey,32,,
106,1999-01-06,H.Res.6,Budget,Mr. Kasich,1,Chairman,
106,1999-01-06,H.Res.6,Budget,Mr. Chambliss,2,,
106,1999-01-06,H.Res.6,Budget,Mr. Shays,3,,
106,1999-01-06,H.Res.6,Budget,Mr. Herger,4,,
106,1999-01-06,H.Res.6,Budget,Mr. Miller of Florida,5,,
106,1999-01-06,H.Res.6,Budget,Mr. Franks of New Jersey,6,,
106,1999-01-06,H.Res.6,Budget,Mr. Smith of Michigan,7,,
106,1999-01-06,H.Res.6,Budget,Mr. Nussle,8,,
106,1999-01-06,H.Res.6,Budget,Mr. Hoekstra,9,,
106,1999-01-06,H.Res.6,Budget,Mr. Radanovich,10,,
106,1999-01-06,H.Res.6,Budget,Mr. Bass,11,,
106,1999-01-06,H.Res.6,Budget,Mr. Gutknecht,12,,
106,1999-01-06,H.Res.6,Budget,Mr. Hilleary,13,,
106,1999-01-06,H.Res.6,Budget,Mr. Sununu,14,,
106,1999-01-06,H.Res.6,Budget,Mr. Pitts,15,,
106,1999-01-06,H.Res.6,Budget,Mr. Knollenberg,16,,
106,1999-01-06,H.Res.6,Budget,Mr. Thornberry,17,,
106,1999-01-06,H.Res.6,Budget,Mr. Ryun of Kansas,18,,
106,1999-01-06,H.Res.6,Budget,Mr. Green of Wisconsin,19,,
106,1999-01-06,H.Res.6,Budget,Mr. Fletcher,20,,
106,1999-01-06,H.Res.6,Budget,Mr. Gary Miller of California,21,,
106,1999-01-06,H.Res.6,Budget,Mr. Ryan of Wisconsin,22,,
106,1999-01-06,H.Res.6,Budget,Mr. Toomey,23,,
106,1999-01-06,H.Res.6,Commerce,Mr. Bliley,1,Chairman,
106,1999-01-06,H.Res.6,Commerce,Mr. Tauzin,2,,
106,1999-01-06,H.Res.6,Commerce,Mr. Oxley,3,,
106,1999-01-06,H.Res.6,Commerce,Mr. Bilirakis,4,,
106,1999-01-06,H.Res.6,Commerce,Mr. Barton of Texas,5,,
106,1999-01-06,H.Res.6,Commerce,Mr. Upton,6,,
106,1999-01-06,H.Res.6,Commerce,Mr. Stearns,7,,
106,1999-01-06,H.Res.6,Commerce,Mr. Gillmor,8,,
106,1999-01-06,H.Res.6,Commerce,Mr. Greenwood,9,,
106,1999-01-06,H.Res.6,Commerce,Mr. Cox,10,,
106,1999-01-06,H.Res.6,Commerce,Mr. Deal of Georgia,11,,
106,1999-01-06,H.Res.6,Commerce,Mr. Largent,12,,
106,1999-01-06,H.Res.6,Commerce,Mr. Burr of North Carolina,13,,
106,1999-01-06,H.Res.6,Commerce,Mr. Bilbray,14,,
106,1999-01-06,H.Res.6,Commerce,Mr. Whitfield,15,,
106,1999-01-06,H.Res.6,Commerce,Mr. Ganske,16,,
106,1999-01-06,H.Res.6,Commerce,Mr. Norwood,17,,
106,1999-01-06,H.Res.6,Commerce,Mr. Coburn,18,,
106,1999-01-06,H.Res.6,Commerce,Mr. Lazio,19,,
106,1999-01-06,H.Res.6,Commerce,Mrs. Cubin,20,,
106,1999-01-06,H.Res.6,Commerce,Mr. Rogan,21,,
106,1999-01-06,H.Res.6,Commerce,Mr. Shimkus,22,,
106,1999-01-06,H.Res.6,Commerce,Mrs. Wilson,23,,
106,1999-01-06,H.Res.6,Commerce,Mr. Shadegg,24,,
106,1999-01-06,H.Res.6,Commerce,Mr. Pickering,25,,
